Statistical profiling result from info.log, (4276 ticks, 4 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2  100.0%          LazyCompile: *next /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/router/index.js:176:16
      2  100.0%            LazyCompile: ~expressInit /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/middleware/init.js:29:30
      2   10.5%        LazyCompile: ~<anonymous> /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express-session/index.js:485:38
      2  100.0%          LazyCompile: *processImmediate node:internal/timers:421:28
      2   10.5%        LazyCompile: ~<anonymous> /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/dist/services/server.js:38:9
      2  100.0%          LazyCompile: *next /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/router/index.js:176:16
      2  100.0%            LazyCompile: ~strategy.pass /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/passport/lib/middleware/authenticate.js:336:31
      2   10.5%        LazyCompile: *handle /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/router/index.js:136:31
      2  100.0%          LazyCompile: ~router /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/router/index.js:46:18
      2  100.0%            LazyCompile: *next /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/router/index.js:176:16
      1    5.3%        LazyCompile: ~initialize /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/passport/lib/middleware/initialize.js:51:29
      1  100.0%          LazyCompile: *next /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/router/index.js:176:16
      1  100.0%            LazyCompile: ~error /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/serve-static/index.js:115:39
     15    2.7%      LazyCompile: ~setWriteHeadHeaders /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/on-headers/index.js:105:30
     15  100.0%        LazyCompile: ~writeHead /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/on-headers/index.js:28:29
     15  100.0%          LazyCompile: ~_implicitHeader node:_http_server:265:68
     15  100.0%            LazyCompile: ~writetop /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express-session/index.js:270:24
     12    2.2%      LazyCompile: ~compression /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/compression/index.js:59:31
     10   83.3%        LazyCompile: *next /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/router/index.js:176:16
     10  100.0%          LazyCompile: ~jsonParser /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/body-parser/lib/types/json.js:98:30
     10  100.0%            LazyCompile: *next /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/router/index.js:176:16
      2   16.7%        LazyCompile: ~handle /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/router/layer.js:86:49
      2  100.0%          LazyCompile: ~trim_prefix /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/router/index.js:288:23
      2  100.0%            LazyCompile: ~<anonymous> /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/router/index.js:275:64
     12    2.2%      LazyCompile: ~Module._load node:internal/modules/cjs/loader:753:24
     10   83.3%        LazyCompile: ~Module.require node:internal/modules/cjs/loader:1005:36
     10  100.0%          LazyCompile: ~require node:internal/modules/cjs/helpers:92:31
      1   10.0%            Eval: ~<anonymous> /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/winston/node_modules/readable-stream/lib/_stream_readable.js:1:1
      1   10.0%            Eval: ~<anonymous> /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/semver/index.js:1:1
      1   10.0%            Eval: ~<anonymous> /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/mongoose/lib/helpers/update/updatedPathsByArrayFilter.js:1:1
      1   10.0%            Eval: ~<anonymous> /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/mongoose/lib/helpers/query/castUpdate.js:1:1
      1   10.0%            Eval: ~<anonymous> /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/faker/lib/locales/sk/name/index.js:1:1
      1   10.0%            Eval: ~<anonymous> /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/faker/lib/locales/nb_NO/address/index.js:1:1
      1   10.0%            Eval: ~<anonymous> /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/faker/lib/locales/he/address/index.js:1:1
      1   10.0%            Eval: ~<anonymous> /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/faker/lib/locales.js:1:1
      1   10.0%            Eval: ~<anonymous> /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/express.js:1:1
      1   10.0%            Eval: ~<anonymous> /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/compression/node_modules/debug/src/index.js:1:1
      2   16.7%        LazyCompile: ~executeUserEntryPoint node:internal/modules/run_main:69:31
      2  100.0%          Eval: ~<anonymous> node:internal/main/run_main_module:1:1
     12    2.2%      LazyCompile: *nextTick node:internal/process/task_queues:104:18
      4   33.3%        LazyCompile: ~write_ node:_http_outgoing:728:16
      4  100.0%          LazyCompile: ~write node:_http_outgoing:699:49
      4  100.0%            LazyCompile: ~write /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/compression/index.js:78:32
      3   25.0%        LazyCompile: ~onwrite node:internal/streams/writable:425:17
      2   66.7%          LazyCompile: ~afterWriteDispatched node:internal/stream_base_commons:155:30
      2  100.0%            LazyCompile: ~writevGeneric node:internal/stream_base_commons:122:23
      1   33.3%          LazyCompile: *writeOrBuffer node:internal/streams/writable:365:23
      1  100.0%            LazyCompile: *_write node:internal/streams/writable:283:16
      3   25.0%        LazyCompile: ~endReadable node:internal/streams/readable:1295:21
      3  100.0%          LazyCompile: ~Readable.read node:internal/streams/readable:395:35
      2   66.7%            LazyCompile: ~resume_ node:internal/streams/readable:982:17
      1   33.3%            LazyCompile: ~flow node:internal/streams/readable:1006:14
      1    8.3%        LazyCompile: ~resOnFinish node:_http_server:784:21
      1  100.0%          LazyCompile: ~emit node:events:314:44
      1  100.0%            LazyCompile: ~onFinish node:_http_outgoing:826:18
      1    8.3%        LazyCompile: ~emitReadable node:internal/streams/readable:560:22
      1  100.0%          LazyCompile: ~onEofChunk node:internal/streams/readable:530:20
      1  100.0%            LazyCompile: ~readableAddChunk node:internal/streams/readable:236:26
     11    2.0%      LazyCompile: ~writeHead node:_http_server:270:19
     11  100.0%        LazyCompile: ~writeHead /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/on-headers/index.js:28:29
     11  100.0%          LazyCompile: ~writeHead /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/on-headers/index.js:28:29
     11  100.0%            LazyCompile: ~_implicitHeader node:_http_server:265:68
     11    2.0%      LazyCompile: ~stringify /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/response.js:1118:20
     11  100.0%        LazyCompile: ~json /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/response.js:239:25
     11  100.0%          LazyCompile: ~<anonymous> /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/dist/routes/index.js:57:21
     11  100.0%            LazyCompile: ~handle /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/router/layer.js:86:49
     11    2.0%      LazyCompile: ~hash /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express-session/index.js:596:14
      8   72.7%        LazyCompile: ~isSaved /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express-session/index.js:430:21
      8  100.0%          LazyCompile: ~shouldSave /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express-session/index.js:440:24
      8  100.0%            LazyCompile: ~end /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express-session/index.js:250:27
      2   18.2%        LazyCompile: ~save /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express-session/index.js:403:20
      2  100.0%          LazyCompile: ~end /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express-session/index.js:250:27
      2  100.0%            LazyCompile: ~send /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/response.js:107:25
      1    9.1%        LazyCompile: ~inflate /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express-session/index.js:371:22
      1  100.0%          LazyCompile: ~<anonymous> /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express-session/index.js:485:38
      1  100.0%            LazyCompile: ~processImmediate node:internal/timers:421:28
      9    1.6%      LazyCompile: ~resOnFinish node:_http_server:784:21
      6   66.7%        LazyCompile: ~emit node:events:314:44
      6  100.0%          LazyCompile: ~onFinish node:_http_outgoing:826:18
      6  100.0%            LazyCompile: ~callback node:internal/streams/writable:550:44
      3   33.3%        LazyCompile: *emit node:events:314:44
      3  100.0%          LazyCompile: ~onFinish node:_http_outgoing:826:18
      3  100.0%            LazyCompile: ~callback node:internal/streams/writable:550:44
      9    1.6%      LazyCompile: ~initialize /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/passport/lib/middleware/initialize.js:51:29
      9  100.0%        LazyCompile: *next /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/router/index.js:176:16
      9  100.0%          LazyCompile: ~error /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/serve-static/index.js:115:39
      6   66.7%            LazyCompile: ~emit node:events:314:44
      3   33.3%            LazyCompile: *emit node:events:314:44
      9    1.6%      LazyCompile: ~getOptions node:internal/fs/utils:313:20
      8   88.9%        LazyCompile: ~readFileSync node:fs:448:22
      8  100.0%          LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1118:37
      8  100.0%            LazyCompile: ~Module.load node:internal/modules/cjs/loader:977:33
      1   11.1%        LazyCompile: ~realpathSync node:fs:2403:22
      1  100.0%          LazyCompile: ~toRealPath node:internal/modules/cjs/loader:389:20
      1  100.0%            LazyCompile: ~Module._findPath node:internal/modules/cjs/loader:490:28
      9    1.6%      LazyCompile: *realpathSync node:fs:2403:22
      6   66.7%        LazyCompile: *Module._findPath node:internal/modules/cjs/loader:490:28
      4   66.7%          LazyCompile: ~Module._resolveFilename node:internal/modules/cjs/loader:856:35
      3   75.0%            LazyCompile: *Module._load node:internal/modules/cjs/loader:753:24
      1   25.0%            LazyCompile: ~Module._load node:internal/modules/cjs/loader:753:24
      2   33.3%          LazyCompile: *Module._resolveFilename node:internal/modules/cjs/loader:856:35
      2  100.0%            LazyCompile: ~Module._load node:internal/modules/cjs/loader:753:24
      3   33.3%        LazyCompile: ~toRealPath node:internal/modules/cjs/loader:389:20
      3  100.0%          LazyCompile: ~tryFile node:internal/modules/cjs/loader:380:17
      3  100.0%            LazyCompile: ~tryExtensions node:internal/modules/cjs/loader:396:23
      8    1.4%      LazyCompile: ~send /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/response.js:107:25
      8  100.0%        LazyCompile: ~json /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/response.js:239:25
      8  100.0%          LazyCompile: ~<anonymous> /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/dist/routes/index.js:57:21
      8  100.0%            LazyCompile: ~handle /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/router/layer.js:86:49
      8    1.4%      LazyCompile: ~<anonymous> /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/dist/services/server.js:38:9
      8  100.0%        LazyCompile: *next /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/router/index.js:176:16
      8  100.0%          LazyCompile: ~strategy.pass /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/passport/lib/middleware/authenticate.js:336:31
      8  100.0%            LazyCompile: ~SessionStrategy.authenticate /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/passport/lib/strategies/session.js:45:50
      8    1.4%      LazyCompile: *readPackage node:internal/modules/cjs/loader:286:21
      4   50.0%        LazyCompile: *readPackageScope node:internal/modules/cjs/loader:317:26
      3   75.0%          LazyCompile: ~trySelf node:internal/modules/cjs/loader:437:17
      3  100.0%            LazyCompile: ~Module._resolveFilename node:internal/modules/cjs/loader:856:35
      1   25.0%          LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1118:37
      1  100.0%            LazyCompile: ~Module.load node:internal/modules/cjs/loader:977:33
      3   37.5%        LazyCompile: *Module._resolveFilename node:internal/modules/cjs/loader:856:35
      3  100.0%          LazyCompile: ~Module._load node:internal/modules/cjs/loader:753:24
      3  100.0%            LazyCompile: ~Module.require node:internal/modules/cjs/loader:1005:36
      1   12.5%        LazyCompile: ~tryPackage node:internal/modules/cjs/loader:334:20
      1  100.0%          LazyCompile: *Module._findPath node:internal/modules/cjs/loader:490:28
      1  100.0%            LazyCompile: *Module._resolveFilename node:internal/modules/cjs/loader:856:35
      7    1.3%      LazyCompile: ~session /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express-session/index.js:179:26
      7  100.0%        LazyCompile: *next /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/router/index.js:176:16
      7  100.0%          LazyCompile: ~compression /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/compression/index.js:59:31
      7  100.0%            LazyCompile: *next /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/router/index.js:176:16
      7    1.3%      LazyCompile: ~Hash node:internal/crypto/hash:58:14
      7  100.0%        LazyCompile: ~createHash node:crypto:129:20
      6   85.7%          LazyCompile: ~hash /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express-session/index.js:596:14
      3   50.0%            LazyCompile: ~isSaved /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express-session/index.js:430:21
      2   33.3%            LazyCompile: ~save /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express-session/index.js:403:20
      1   16.7%            LazyCompile: ~inflate /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express-session/index.js:371:22
      1   14.3%          LazyCompile: ~sha1 /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/cookie-signature/index.js:49:14
      1  100.0%            LazyCompile: ~exports.unsign /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/cookie-signature/index.js:36:26
      6    1.1%      LazyCompile: ~writevGeneric node:internal/stream_base_commons:122:23
      6  100.0%        LazyCompile: ~Socket._writeGeneric node:net:743:42
      6  100.0%          LazyCompile: ~Socket._writev node:net:775:36
      6  100.0%            LazyCompile: ~doWrite node:internal/streams/writable:398:17
      6    1.1%      LazyCompile: ~set /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express-session/session/memory.js:119:41
      6  100.0%        LazyCompile: ~save /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express-session/session/session.js:71:54
      6  100.0%          LazyCompile: ~save /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express-session/index.js:403:20
      6  100.0%            LazyCompile: ~end /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express-session/index.js:250:27
      6    1.1%      LazyCompile: ~<anonymous> /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/request.js:467:36
      6  100.0%        T __ZNK4node9inspector8protocol11BinaryValue8asBinaryEPNS1_6BinaryE
      6  100.0%          LazyCompile: ~send /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/response.js:107:25
      6  100.0%            LazyCompile: ~json /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/response.js:239:25
      6    1.1%      LazyCompile: *Module._findPath node:internal/modules/cjs/loader:490:28
      3   50.0%        LazyCompile: ~Module._resolveFilename node:internal/modules/cjs/loader:856:35
      3  100.0%          LazyCompile: ~Module._load node:internal/modules/cjs/loader:753:24
      3  100.0%            LazyCompile: ~Module.require node:internal/modules/cjs/loader:1005:36
      3   50.0%        LazyCompile: *Module._resolveFilename node:internal/modules/cjs/loader:856:35
      3  100.0%          LazyCompile: ~Module._load node:internal/modules/cjs/loader:753:24
      3  100.0%            LazyCompile: ~Module.require node:internal/modules/cjs/loader:1005:36

    787   18.4%  T __ZN4node10contextify17ContextifyContext15CompileFunctionERKN2v820FunctionCallbackInfoINS2_5ValueEEE
    787  100.0%    T __ZNK4node9inspector8protocol11BinaryValue8asBinaryEPNS1_6BinaryE
    787  100.0%      LazyCompile: ~compileFunction node:vm:311:25
    625   79.4%        LazyCompile: ~wrapSafe node:internal/modules/cjs/loader:1025:18
    625  100.0%          LazyCompile: ~Module._compile node:internal/modules/cjs/loader:1063:37
    625  100.0%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1118:37
    162   20.6%        LazyCompile: *Module._compile node:internal/modules/cjs/loader:1063:37
    162  100.0%          LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1118:37
    162  100.0%            LazyCompile: ~Module.load node:internal/modules/cjs/loader:977:33

    751   17.6%  T _host_get_clock_service

    172    4.0%  T __ZN4node10StreamBase8JSMethodIXadL_ZNS0_6WritevERKN2v820FunctionCallbackInfoINS2_5ValueEEEEEEEvS7_
    172  100.0%    T __ZNK4node9inspector8protocol11BinaryValue8asBinaryEPNS1_6BinaryE
    172  100.0%      LazyCompile: ~writevGeneric node:internal/stream_base_commons:122:23
    172  100.0%        LazyCompile: ~Socket._writeGeneric node:net:743:42
    172  100.0%          LazyCompile: ~Socket._writev node:net:775:36
    172  100.0%            LazyCompile: ~doWrite node:internal/streams/writable:398:17

    100    2.3%  T __ZN4node13native_module15NativeModuleEnv15CompileFunctionERKN2v820FunctionCallbackInfoINS2_5ValueEEE
    100  100.0%    T __ZNK4node9inspector8protocol11BinaryValue8asBinaryEPNS1_6BinaryE
    100  100.0%      LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
     75   75.0%        LazyCompile: ~nativeModuleRequire node:internal/bootstrap/loaders:332:29
      7    9.3%          Eval: ~<anonymous> node:internal/child_process:1:1
      7  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      7    9.3%          Eval: ~<anonymous> node:http:1:1
      7  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      7    9.3%          Eval: ~<anonymous> node:crypto:1:1
      7  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      5    6.7%          Eval: ~<anonymous> node:tls:1:1
      5  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      5    6.7%          Eval: ~<anonymous> node:internal/modules/esm/loader:1:1
      5  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      4    5.3%          Eval: ~<anonymous> node:child_process:1:1
      4  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      4    5.3%          Eval: ~<anonymous> node:assert:1:1
      4  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      3    4.0%          Eval: ~<anonymous> node:internal/modules/esm/get_source:1:1
      3  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      3    4.0%          Eval: ~<anonymous> node:internal/crypto/hkdf:1:1
      3  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      3    4.0%          Eval: ~<anonymous> node:_http_client:1:1
      3  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      2    2.7%          LazyCompile: ~lazyRequire node:internal/crypto/util:66:21
      2  100.0%            LazyCompile: ~get node:crypto:287:8
      2    2.7%          LazyCompile: ~lazyLoadStreams node:fs:2800:25
      2  100.0%            LazyCompile: ~get ReadStream node:fs:2941:17
      2    2.7%          LazyCompile: ~initializeCJSLoader node:internal/bootstrap/pre_execution:414:29
      2  100.0%            LazyCompile: ~prepareMainThreadExecution node:internal/bootstrap/pre_execution:22:36
      2    2.7%          Eval: ~<anonymous> node:internal/http:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      2    2.7%          Eval: ~<anonymous> node:internal/crypto/random:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      2    2.7%          Eval: ~<anonymous> node:dgram:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      2    2.7%          Eval: ~<anonymous> node:_http_common:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    1.3%          LazyCompile: ~lazyLoadPromises node:stream:50:26
      1  100.0%            LazyCompile: ~get node:stream:58:6
      1    1.3%          LazyCompile: ~get node:dns:329:8
      1  100.0%            T __ZNK4node9inspector8protocol11BinaryValue8asBinaryEPNS1_6BinaryE
      1    1.3%          LazyCompile: ~get BlockList node:net:1746:16
      1  100.0%            T __ZNK4node9inspector8protocol11BinaryValue8asBinaryEPNS1_6BinaryE
      1    1.3%          Eval: ~<anonymous> node:tty:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    1.3%          Eval: ~<anonymous> node:internal/source_map/source_map_cache:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    1.3%          Eval: ~<anonymous> node:internal/process/esm_loader:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    1.3%          Eval: ~<anonymous> node:internal/modules/package_json_reader:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    1.3%          Eval: ~<anonymous> node:internal/fs/promises:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    1.3%          Eval: ~<anonymous> node:internal/cluster/primary:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    1.3%          Eval: ~<anonymous> node:dns:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    1.3%          Eval: ~<anonymous> node:cluster:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    1.3%          Eval: ~<anonymous> node:_tls_wrap:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    1.3%          Eval: ~<anonymous> node:_http_server:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
     25   25.0%        LazyCompile: ~compileForPublicLoader node:internal/bootstrap/loaders:246:25
     25  100.0%          LazyCompile: ~loadNativeModule node:internal/modules/cjs/helpers:35:26
     25  100.0%            LazyCompile: ~Module._load node:internal/modules/cjs/loader:753:24

     73    1.7%  t __ZN4node2fsL4OpenERKN2v820FunctionCallbackInfoINS1_5ValueEEE
     72   98.6%    T __ZNK4node9inspector8protocol11BinaryValue8asBinaryEPNS1_6BinaryE
     72  100.0%      LazyCompile: ~openSync node:fs:574:18
     72  100.0%        LazyCompile: ~readFileSync node:fs:448:22
     71   98.6%          LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1118:37
     60   84.5%            LazyCompile: ~Module.load node:internal/modules/cjs/loader:977:33
     11   15.5%            LazyCompile: *Module._load node:internal/modules/cjs/loader:753:24
      1    1.4%          LazyCompile: ~config /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/dotenv/lib/main.js:82:17
      1  100.0%            Eval: ~<anonymous> /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/dist/config/index.js:1:1
      1    1.4%    LazyCompile: *readFileSync node:fs:448:22
      1  100.0%      LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1118:37
      1  100.0%        LazyCompile: ~Module.load node:internal/modules/cjs/loader:977:33
      1  100.0%          LazyCompile: ~Module._load node:internal/modules/cjs/loader:753:24
      1  100.0%            LazyCompile: ~Module.require node:internal/modules/cjs/loader:1005:36

     64    1.5%  /usr/lib/system/libsystem_pthread.dylib
     39   60.9%    T __ZNK4node9inspector8protocol11BinaryValue8asBinaryEPNS1_6BinaryE
      3    7.7%      T __ZNK4node9inspector8protocol11BinaryValue8asBinaryEPNS1_6BinaryE
      2   66.7%        LazyCompile: ~abbrev /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/abbrev/abbrev.js:17:17
      2  100.0%          LazyCompile: ~parse /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/nopt/lib/nopt.js:242:16
      2  100.0%            LazyCompile: ~nopt /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/nopt/lib/nopt.js:26:15
      1   33.3%        LazyCompile: ~parse node:url:170:37
      1  100.0%          LazyCompile: ~urlParse node:url:154:18
      1  100.0%            LazyCompile: ~validate_config /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/@mapbox/node-pre-gyp/lib/util/versioning.js:195:25
      3    7.7%      LazyCompile: ~toRealPath node:internal/modules/cjs/loader:389:20
      3  100.0%        LazyCompile: ~Module._findPath node:internal/modules/cjs/loader:490:28
      3  100.0%          LazyCompile: ~resolveMainPath node:internal/modules/run_main:12:25
      3  100.0%            LazyCompile: ~executeUserEntryPoint node:internal/modules/run_main:69:31
      3    7.7%      LazyCompile: ~createWritableStdioStream node:internal/bootstrap/switches/is_main_thread:41:35
      3  100.0%        LazyCompile: ~getStdout node:internal/bootstrap/switches/is_main_thread:120:19
      3  100.0%          Eval: ~<anonymous> /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/supports-color/index.js:1:1
      3  100.0%            LazyCompile: ~Module._compile node:internal/modules/cjs/loader:1063:37
      2    5.1%      LazyCompile: ~getCheckedFunction node:os:63:28
      2  100.0%        Eval: ~<anonymous> node:os:1:1
      2  100.0%          LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      2  100.0%            LazyCompile: ~compileForPublicLoader node:internal/bootstrap/loaders:246:25
      2    5.1%      LazyCompile: ~exports.find /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/@mapbox/node-pre-gyp/lib/pre-binding.js:17:24
      2  100.0%        Eval: ~<anonymous> /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/bcrypt/bcrypt.js:1:1
      2  100.0%          LazyCompile: ~Module._compile node:internal/modules/cjs/loader:1063:37
      2  100.0%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1118:37
      2    5.1%      Eval: ~<anonymous> node:internal/fs/rimraf:1:1
      2  100.0%        LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      2  100.0%          LazyCompile: ~nativeModuleRequire node:internal/bootstrap/loaders:332:29
      2  100.0%            Eval: ~<anonymous> node:internal/fs/promises:1:1
      1    2.6%      LazyCompile: ~setupWarningHandler node:internal/bootstrap/pre_execution:139:29
      1  100.0%        LazyCompile: ~prepareMainThreadExecution node:internal/bootstrap/pre_execution:22:36
      1  100.0%          Eval: ~<anonymous> node:internal/main/run_main_module:1:1
      1    2.6%      LazyCompile: ~setImmediate node:timers:239:22
      1  100.0%        LazyCompile: ~log /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/winston/lib/winston/transports/console.js:44:6
